,,,,,
ATF3,ENSG00000162772.16,31.194,136.873,-2.098,7.93e-10
ATL1,ENSG00000198513.11,2.645,7.218,-1.173,2.84e-12
ATOH8,ENSG00000168874.12,2.275,22.559,-2.847,2.77e-11
ATP1A2,ENSG00000018625.14,0.120,15.182,-3.853,7.86e-61
ATP1B2,ENSG00000129244.8,0.320,2.944,-1.579,7.19e-45
ATP2A1-AS1,ENSG00000260442.5,2.770,0.835,1.039,2.31e-6
ATP2A3,ENSG00000074370.17,7.175,18.835,-1.279,5.66e-6
ATP2B4,ENSG00000058668.14,19.815,52.512,-1.362,1.51e-13
ATP5J2,ENSG00000241468.7,679.202,269.342,1.331,1.99e-29
ATP6V0B,ENSG00000117410.13,193.527,90.759,1.084,5.20e-17
ATP8B2,ENSG00000143515.16,3.170,19.584,-2.303,8.55e-14
ATP8B4,ENSG00000104043.14,0.630,2.627,-1.154,4.23e-20
ATXN1,ENSG00000124788.17,3.290,10.520,-1.425,8.05e-12
AUNIP,ENSG00000127423.10,3.600,0.435,1.681,3.91e-19
AURKA,ENSG00000087586.17,18.775,1.755,2.844,2.27e-26
AURKB,ENSG00000178999.12,34.675,1.950,3.596,8.49e-36
AVPR2,ENSG00000126895.13,0.240,1.525,-1.026,5.61e-22
AXIN2,ENSG00000168646.12,1.375,8.631,-2.020,2.58e-9
AXL,ENSG00000167601.11,5.365,27.357,-2.155,1.08e-8
B3GALNT2,ENSG00000162885.12,4.265,10.634,-1.144,4.00e-7
B3GNT3,ENSG00000179913.10,32.450,15.467,1.022,8.16e-5
B4GALNT4,ENSG00000182272.11,5.890,1.233,1.625,3.46e-3
BACE1,ENSG00000186318.16,5.705,14.260,-1.186,1.63e-5
BAG2,ENSG00000112208.11,2.480,11.946,-1.895,3.85e-22
BAHCC1,ENSG00000266074.8,2.615,7.835,-1.289,1.88e-6
BARX2,ENSG00000043039.6,1.675,0.090,1.295,8.57e-3
BATF,ENSG00000156127.6,27.005,12.749,1.026,2.29e-4
BAX,ENSG00000087088.19,156.010,76.201,1.024,2.07e-16
BAZ2B,ENSG00000123636.17,5.780,15.384,-1.273,4.68e-11
BCHE,ENSG00000114200.9,0.320,7.001,-2.600,6.66e-19
BCL2,ENSG00000171791.11,1.095,5.244,-1.576,2.26e-20
BCL2L12,ENSG00000126453.9,37.745,13.010,1.468,3.22e-19
BCL2L2,ENSG00000129473.9,15.815,40.193,-1.293,3.71e-15
BCL2L2-PABPN1,ENSG00000258643.5,2.670,9.742,-1.549,4.00e-6
BCL6,ENSG00000113916.17,23.470,51.661,-1.106,1.75e-9
BCL9L,ENSG00000186174.12,12.975,29.778,-1.139,1.97e-3
BCO2,ENSG00000197580.11,0.945,3.844,-1.317,1.22e-15
BDKRB1,ENSG00000100739.10,1.405,5.350,-1.401,8.37e-10
BDKRB2,ENSG00000168398.6,3.390,17.508,-2.076,1.26e-17
BHMT2,ENSG00000132840.9,0.305,12.776,-3.400,1.30e-60
BID,ENSG00000015475.18,56.449,19.306,1.500,1.57e-21
BIN1,ENSG00000136717.14,11.325,69.317,-2.512,8.95e-17
BIRC5,ENSG00000089685.14,29.485,1.424,3.653,5.63e-34
BLM,ENSG00000197299.10,6.780,1.317,1.748,2.30e-30
BMP2,ENSG00000125845.6,3.555,10.843,-1.378,1.21e-3
BMP4,ENSG00000125378.15,3.765,20.933,-2.203,5.46e-7
BMP5,ENSG00000112175.7,0.130,2.209,-1.506,1.33e-29
BMPR1A,ENSG00000107779.11,3.595,8.919,-1.110,1.49e-12
BMX,ENSG00000102010.14,0.230,1.815,-1.194,2.02e-13
BNC2,ENSG00000173068.17,0.370,3.655,-1.764,2.31e-24
BOC,ENSG00000144857.14,2.100,26.438,-3.146,3.75e-23
BOLA2,ENSG00000183336.7,23.540,7.435,1.541,2.50e-15
BOLA2B,ENSG00000169627.7,203.452,50.205,1.997,2.02e-31
BOP1,ENSG00000261236.5,45.249,20.629,1.096,7.97e-14
BORA,ENSG00000136122.15,5.180,1.735,1.176,6.89e-15
BRCA1,ENSG00000012048.19,6.810,2.230,1.274,3.19e-11
BRCA2,ENSG00000139618.14,2.045,0.485,1.036,3.66e-9
BRD9P2,ENSG00000249908.2,0.000,1.339,-1.226,9.80e-22
BRI3BP,ENSG00000184992.10,5.315,1.815,1.166,5.86e-13
BRIP1,ENSG00000136492.8,2.175,0.285,1.305,2.59e-14
BRSK1,ENSG00000160469.16,1.155,3.925,-1.192,1.19e-5
BSCL2,ENSG00000168000.14,73.699,27.540,1.388,6.86e-9
BST1,ENSG00000109743.10,4.225,11.095,-1.211,8.13e-3
BTG2,ENSG00000159388.5,86.900,431.413,-2.298,5.65e-13
BTNL9,ENSG00000165810.16,0.890,4.100,-1.432,4.86e-10
BUB1,ENSG00000169679.14,11.130,1.536,2.258,1.88e-22
BUB1B,ENSG00000156970.12,8.940,0.996,2.316,5.32e-24
BVES,ENSG00000112276.13,0.445,4.855,-2.019,3.19e-23
BZRAP1,ENSG00000005379.15,3.525,12.395,-1.566,2.35e-9
BZRAP1-AS1,ENSG00000265148.5,0.370,1.754,-1.007,5.40e-14
C10orf128,ENSG00000204161.13,2.505,9.478,-1.580,1.20e-13
C10orf54,ENSG00000107738.19,25.594,56.232,-1.106,2.51e-8
C11orf80,ENSG00000173715.15,15.240,6.859,1.047,2.00e-9
C11orf95,ENSG00000188070.9,2.525,7.135,-1.206,8.39e-14
C11orf96,ENSG00000187479.5,15.180,165.496,-3.363,3.94e-23
C11orf98,ENSG00000278615.4,112.516,51.864,1.103,9.38e-22
C12orf56,ENSG00000185306.12,1.780,0.325,1.069,2.00e-3
C12orf75,ENSG00000235162.8,14.490,5.800,1.188,3.05e-3
C14orf132,ENSG00000227051.5,0.730,3.885,-1.497,6.20e-10
C14orf159,ENSG00000133943.20,17.660,52.658,-1.524,2.62e-13
C14orf80,ENSG00000185347.17,18.475,7.260,1.237,7.78e-17
C15orf48,ENSG00000166920.10,27.505,4.820,2.292,9.60e-8
C15orf52,ENSG00000188549.12,6.320,27.760,-1.974,3.02e-8
C15orf59,ENSG00000205363.5,0.845,7.846,-2.261,7.55e-16
C16orf45,ENSG00000166780.10,5.290,43.825,-2.833,4.68e-21
C16orf59,ENSG00000162062.14,6.950,0.790,2.151,9.96e-30
C16orf86,ENSG00000159761.14,1.585,5.273,-1.279,6.01e-14
C16orf89,ENSG00000153446.15,0.510,23.079,-3.995,5.76e-46
C16orf93,ENSG00000196118.11,5.955,2.210,1.116,3.86e-10
C17orf49,ENSG00000258315.5,109.466,52.601,1.043,2.84e-15
C17orf53,ENSG00000125319.14,4.600,0.864,1.587,2.25e-20
C17orf96,ENSG00000273604.1,5.260,1.590,1.273,1.36e-7
C19orf33,ENSG00000167644.11,400.330,189.151,1.078,7.70e-8
C19orf48,ENSG00000167747.13,59.412,21.505,1.425,1.33e-24
C1orf21,ENSG00000116667.12,24.420,60.890,-1.284,1.08e-9
C1orf233,ENSG00000228594.3,8.780,2.362,1.540,1.82e-9
C1orf53,ENSG00000203724.10,5.470,1.679,1.272,5.37e-14
C1orf95,ENSG00000203685.9,0.050,1.731,-1.379,2.38e-32
C1QL1,ENSG00000131094.3,0.580,3.239,-1.424,2.94e-4
C1QTNF1,ENSG00000173918.14,8.170,19.621,-1.169,6.49e-4
C1QTNF2,ENSG00000145861.7,0.340,1.814,-1.071,1.02e-18
C1QTNF6,ENSG00000133466.13,15.719,4.331,1.649,4.43e-9
C1QTNF7,ENSG00000163145.12,0.270,8.369,-2.883,1.15e-67
C1R,ENSG00000159403.15,91.979,371.058,-2.001,3.22e-8
C1S,ENSG00000182326.14,70.889,371.057,-2.372,4.47e-8
C20orf166-AS1,ENSG00000174403.15,0.040,5.315,-2.602,5.97e-59
C20orf194,ENSG00000088854.12,3.450,12.890,-1.642,3.28e-20
C20orf24,ENSG00000101084.16,132.701,62.349,1.078,6.08e-11
C21orf58,ENSG00000160298.17,4.125,0.982,1.370,3.60e-10
C2CD4B,ENSG00000205502.3,0.565,3.503,-1.525,7.33e-12
C2orf40,ENSG00000119147.9,0.250,46.439,-5.246,1.68e-51
C2orf74,ENSG00000237651.6,7.750,17.105,-1.049,1.22e-4
C2orf88,ENSG00000187699.10,0.710,3.079,-1.254,3.33e-11
C3,ENSG00000125730.16,123.677,573.344,-2.204,1.30e-6
C3orf18,ENSG00000088543.14,1.690,8.475,-1.817,1.74e-20
C3orf67,ENSG00000163689.18,1.650,0.295,1.033,1.52e-5
C3orf70,ENSG00000187068.2,0.575,4.066,-1.685,4.84e-20
C4A,ENSG00000244731.7,18.025,65.426,-1.804,5.81e-6
C4B,ENSG00000224389.8,17.630,74.989,-2.028,6.23e-6
C4orf48,ENSG00000243449.6,19.425,3.020,2.345,6.49e-16
C5orf66-AS1,ENSG00000249082.2,0.370,9.670,-2.961,3.94e-45
C7,ENSG00000112936.18,0.645,123.426,-6.241,2.74e-36
C8orf4,ENSG00000176907.4,27.195,74.881,-1.428,5.16e-6
C8orf88,ENSG00000253250.2,0.885,9.864,-2.527,2.01e-18
C9orf116,ENSG00000160345.12,7.870,3.045,1.133,1.40e-6
C9orf3,ENSG00000148120.14,30.190,63.385,-1.046,3.13e-9
CA4,ENSG00000167434.9,0.325,3.045,-1.610,3.29e-3
CA9,ENSG00000107159.12,10.455,0.235,3.213,4.15e-9
CAB39L,ENSG00000102547.18,14.695,31.317,-1.042,1.01e-4
CABP1,ENSG00000157782.9,0.490,3.360,-1.549,5.76e-17
CACHD1,ENSG00000158966.13,1.230,4.830,-1.386,1.27e-11
CACNA1C,ENSG00000151067.20,0.980,5.713,-1.761,3.01e-20
CACNA1H,ENSG00000196557.10,1.955,34.262,-3.577,4.34e-35
CACNA2D1,ENSG00000153956.15,0.590,4.350,-1.750,3.79e-17
CACNB2,ENSG00000165995.18,0.580,5.437,-2.027,4.52e-34
CADM3,ENSG00000162706.12,0.105,11.514,-3.501,2.20e-40
CADM3-AS1,ENSG00000225670.4,0.050,1.225,-1.083,6.30e-43
CALCOCO1,ENSG00000012822.15,32.449,122.305,-1.882,5.39e-25
CALD1,ENSG00000122786.19,39.530,325.892,-3.012,2.86e-17
CALHM2,ENSG00000138172.10,12.825,32.552,-1.279,9.84e-6
CALR,ENSG00000179218.13,744.949,266.815,1.478,1.02e-27
CAMK2A,ENSG00000070808.15,0.050,1.487,-1.244,9.51e-51
CAMK2D,ENSG00000145349.16,8.220,21.419,-1.282,2.80e-9
